Timestamp,Sender,Receiver,ConversationID,Performative,RTT_ms,MessageSize_bytes,Success,AdditionalInfo,Ontology
2025-05-14T20:33:25.585715,ROJAS RODRIGUEZ RO,salav105@localhost,cfp-01375a6d-1208-4baa-9de3-a58d64988cc9,propose,6.700,360,True,,classroom-availability
2025-05-14T20:33:25.639846,ROJAS RODRIGUEZ RO,salalamb@localhost,cfp-94841a2a-f943-47b1-adfa-885a18ccb305,propose,59.987,360,True,,classroom-availability
2025-05-14T20:33:25.700714,ROJAS RODRIGUEZ RO,salae6@localhost,cfp-fe0cf7ed-5935-4996-8e5c-1b5e1baecb53,propose,121.360,358,True,,classroom-availability
2025-05-14T20:33:25.749090,ROJAS RODRIGUEZ RO,salaic2@localhost,cfp-325d511d-b1f8-4604-9e73-85172785ddf3,propose,169.022,359,True,,classroom-availability
2025-05-14T20:33:25.809601,ROJAS RODRIGUEZ RO,salacm4@localhost,cfp-3c6a3df7-ce6a-498f-bf1f-3f67adcb1281,propose,229.443,359,True,,classroom-availability
2025-05-14T20:33:25.856913,ROJAS RODRIGUEZ RO,salak3@localhost,cfp-555c19bd-5671-4d31-b9b6-9dfd21caced3,propose,276.526,358,True,,classroom-availability
2025-05-14T20:33:25.905806,ROJAS RODRIGUEZ RO,salalc-03@localhost,cfp-b76dc5a6-f59b-4ad8-a17d-9b17ca29f102,propose,324.598,361,True,,classroom-availability
2025-05-14T20:33:25.968272,ROJAS RODRIGUEZ RO,salav205@localhost,cfp-364e5df5-4b82-4281-abdf-578f93a00006,propose,387.358,360,True,,classroom-availability
2025-05-14T20:33:26.029000,ROJAS RODRIGUEZ RO,salacrp43@localhost,cfp-faedd0ba-1700-4a0f-a5b3-a2f5836b7c42,propose,447.669,361,True,,classroom-availability
2025-05-14T20:33:26.076157,ROJAS RODRIGUEZ RO,salak1@localhost,cfp-f2d2b5a2-08cf-4b02-a638-780522c03799,propose,494.072,358,True,,classroom-availability
2025-05-14T20:33:26.122157,ROJAS RODRIGUEZ RO,salacm3@localhost,cfp-269f942d-fbf5-4abb-b0d0-27524bd40790,propose,540.229,359,True,,classroom-availability
2025-05-14T20:33:26.168183,ROJAS RODRIGUEZ RO,salaic4@localhost,cfp-7d1acb90-c28a-45b9-8312-7896d3a24356,propose,588.739,359,True,,classroom-availability
2025-05-14T20:33:26.214603,ROJAS RODRIGUEZ RO,salacrp33@localhost,cfp-2f2ef6e8-d071-42f3-a8dc-06a7f40140b3,propose,634.630,361,True,,classroom-availability
2025-05-14T20:33:26.260766,ROJAS RODRIGUEZ RO,salae1@localhost,cfp-b0f58690-8c8d-47dd-a326-3b09fa7833b0,propose,679.467,358,True,,classroom-availability
2025-05-14T20:33:26.307442,ROJAS RODRIGUEZ RO,salacm5@localhost,cfp-4aa2432a-dfe4-4d41-98df-4e378ebd94f2,propose,727.148,359,True,,classroom-availability
2025-05-14T20:33:26.354127,ROJAS RODRIGUEZ RO,salav207@localhost,cfp-443cd2e2-b0a6-4646-befd-7e304b51784a,propose,773.643,360,True,,classroom-availability
2025-05-14T20:33:26.390266,ROJAS RODRIGUEZ RO,salav102@localhost,cfp-0af55bd8-38cd-4943-954f-3a5c7d0d7178,propose,808.541,360,True,,classroom-availability
2025-05-14T20:33:26.446858,ROJAS RODRIGUEZ RO,salaic3@localhost,cfp-2110ebdf-89ea-48eb-868b-7e8a6f4f97aa,propose,865.207,359,True,,classroom-availability
2025-05-14T20:33:26.492137,ROJAS RODRIGUEZ RO,salalc6@localhost,cfp-a60821bd-2329-453f-bb67-febeeb6663d9,propose,911.400,359,True,,classroom-availability
2025-05-14T20:33:26.539954,ROJAS RODRIGUEZ RO,salav103@localhost,cfp-6127add2-9f83-4984-a5f8-adfe73eb7006,propose,959.892,360,True,,classroom-availability
2025-05-14T20:33:26.670501,PADILLA GUZMAN SIL,salaic4@localhost,cfp-3e1f1e6b-051a-4fb2-aef4-c874eedcaa3e,propose,4.026,359,True,,classroom-availability
2025-05-14T20:33:26.710792,PADILLA GUZMAN SIL,salav103@localhost,cfp-2bb1075d-3c2a-4143-9e96-4afc77f03ef2,propose,44.463,360,True,,classroom-availability
2025-05-14T20:33:26.756081,PADILLA GUZMAN SIL,salacrp33@localhost,cfp-ec014f64-56b4-4f56-a627-4205f30a0d40,propose,89.616,361,True,,classroom-availability
2025-05-14T20:33:26.803356,PADILLA GUZMAN SIL,salacm5@localhost,cfp-5400bef9-bacf-432b-bc68-f420f6f02468,propose,136.859,359,True,,classroom-availability
2025-05-14T20:33:26.851527,PADILLA GUZMAN SIL,salav207@localhost,cfp-d5acf434-7498-4d68-939f-384800aa1d65,propose,184.207,360,True,,classroom-availability
2025-05-14T20:33:26.897714,PADILLA GUZMAN SIL,salacm3@localhost,cfp-b2bc8bcb-cce6-4a46-9391-367a7369693e,propose,229.982,359,True,,classroom-availability
2025-05-14T20:33:26.943172,PADILLA GUZMAN SIL,salae1@localhost,cfp-d2e4c2c1-0eef-4d47-9109-d1705de0f078,propose,276.028,358,True,,classroom-availability
2025-05-14T20:33:26.990274,PADILLA GUZMAN SIL,salav102@localhost,cfp-56874d3a-32e8-46af-b10d-030b755d1f73,propose,322.737,360,True,,classroom-availability
2025-05-14T20:33:27.036748,PADILLA GUZMAN SIL,salae6@localhost,cfp-b637603d-bb69-4d08-8bc1-86214383375d,propose,370.307,358,True,,classroom-availability
2025-05-14T20:33:27.084167,PADILLA GUZMAN SIL,salak1@localhost,cfp-2ab2cac0-4229-4323-b807-ee6060ab0f59,propose,416.050,358,True,,classroom-availability
2025-05-14T20:33:27.129628,PADILLA GUZMAN SIL,salacrp43@localhost,cfp-82a61f09-238d-4175-a710-93c3ed3a98ad,propose,462.220,361,True,,classroom-availability
2025-05-14T20:33:27.175804,PADILLA GUZMAN SIL,salacm4@localhost,cfp-2a00390f-dfd6-4027-9e2b-28c1db6e14c1,propose,508.973,359,True,,classroom-availability
2025-05-14T20:33:27.223776,PADILLA GUZMAN SIL,salav205@localhost,cfp-43298e5e-9989-4c43-a86c-e5ca81d7b659,propose,556.249,360,True,,classroom-availability
2025-05-14T20:33:27.239356,PADILLA GUZMAN SIL,salaic4@localhost,cfp-2233be24-ae14-4ea8-b407-0b017add2a9f,propose,9.564,359,True,,classroom-availability
2025-05-14T20:33:27.285189,PADILLA GUZMAN SIL,salad105@localhost,cfp-d777ddda-cb31-4c21-a592-f124bbe8e06b,propose,55.863,360,True,,classroom-availability
2025-05-14T20:33:27.331722,PADILLA GUZMAN SIL,salav103@localhost,cfp-2eecc7c3-e78f-4fa1-8f83-2995e2000706,propose,101.460,354,True,,classroom-availability
2025-05-14T20:33:27.380104,PADILLA GUZMAN SIL,salacrp33@localhost,cfp-7ee7dc8c-6e8c-4ba3-a716-d3820b6de2e7,propose,149.941,361,True,,classroom-availability
2025-05-14T20:33:27.425848,PADILLA GUZMAN SIL,salacm5@localhost,cfp-ca610263-fa4b-4661-92db-419786bfc35b,propose,196.257,359,True,,classroom-availability
2025-05-14T20:33:27.473159,PADILLA GUZMAN SIL,salav207@localhost,cfp-9183a587-cb12-4a17-93a7-52cd938fd792,propose,242.507,360,True,,classroom-availability
2025-05-14T20:33:27.519452,PADILLA GUZMAN SIL,salaic8@localhost,cfp-02869b23-2fe1-42a0-9797-21b6dd902a3c,propose,288.690,359,True,,classroom-availability
2025-05-14T20:33:27.564447,PADILLA GUZMAN SIL,salas210@localhost,cfp-2f460c2b-c723-4b39-9e6c-784161530c52,propose,334.139,360,True,,classroom-availability
2025-05-14T20:33:27.611138,PADILLA GUZMAN SIL,salalc6@localhost,cfp-d48e82bb-ab48-4cef-992a-eba26447eee3,propose,380.385,359,True,,classroom-availability
2025-05-14T20:33:27.658559,PADILLA GUZMAN SIL,salaic3@localhost,cfp-b9812e17-4aeb-4e06-be89-a06f8f29e78c,propose,426.820,359,True,,classroom-availability
2025-05-14T20:33:27.704899,PADILLA GUZMAN SIL,salacm3@localhost,cfp-85b1eef6-2631-4a28-b1e6-a28ba1b8140f,propose,473.073,359,True,,classroom-availability
2025-05-14T20:33:27.750169,PADILLA GUZMAN SIL,salak2@localhost,cfp-66fba94b-ee0d-409e-b678-c09ec1c1bcde,propose,518.847,358,True,,classroom-availability
2025-05-14T20:33:27.797408,PADILLA GUZMAN SIL,salalc-02@localhost,cfp-178a117d-5f41-450b-b3b3-7c0fff1da154,propose,565.387,361,True,,classroom-availability
2025-05-14T20:33:27.844772,PADILLA GUZMAN SIL,salae1@localhost,cfp-fe174e2d-132d-4fdd-a417-b8abe2582a0b,propose,612.533,358,True,,classroom-availability
2025-05-14T20:33:27.904530,PADILLA GUZMAN SIL,salacm6@localhost,cfp-0a897385-1b23-4744-8550-5bdc31302777,propose,672.744,359,True,,classroom-availability
2025-05-14T20:33:27.965428,PADILLA GUZMAN SIL,salav102@localhost,cfp-cedbd6a4-655c-401d-8bc2-3d8d69f1940d,propose,733.227,360,True,,classroom-availability
2025-05-14T20:33:28.013202,PADILLA GUZMAN SIL,salas209@localhost,cfp-de12a1e8-6eaa-4276-9620-7940500c0422,propose,781.067,360,True,,classroom-availability
2025-05-14T20:33:28.058331,PADILLA GUZMAN SIL,salalc1@localhost,cfp-6fa4c473-4f99-46fe-bb92-a874a25640c9,propose,825.508,359,True,,classroom-availability
2025-05-14T20:33:28.106153,PADILLA GUZMAN SIL,salaic1@localhost,cfp-473a74c5-c944-4a78-99c1-ffe2fc516af7,propose,874.687,359,True,,classroom-availability
2025-05-14T20:33:28.152017,PADILLA GUZMAN SIL,salas318@localhost,cfp-d03cea4d-32b3-4510-a758-885f756bb614,propose,920.866,360,True,,classroom-availability
2025-05-14T20:33:28.200305,PADILLA GUZMAN SIL,salalfis@localhost,cfp-4827cecc-54ed-44c7-9041-a0c8911e3291,propose,967.707,360,True,,classroom-availability
2025-05-14T20:33:28.272372,PADILLA GUZMAN SIL,salalamb@localhost,cfp-10a6e17f-618f-44b6-8917-9ef88a67021d,propose,1042.715,360,True,,classroom-availability
2025-05-14T20:33:28.323230,PADILLA GUZMAN SIL,salalc-03@localhost,cfp-9207bec0-cade-4418-907e-396a9dd561e6,propose,1092.444,361,True,,classroom-availability
2025-05-14T20:33:28.370527,PADILLA GUZMAN SIL,salak1@localhost,cfp-935a878b-45cd-4385-80b7-c238b171d40c,propose,1137.705,358,True,,classroom-availability
2025-05-14T20:33:28.416882,PADILLA GUZMAN SIL,salacm4@localhost,cfp-2ba58929-6d48-40f8-9484-983b69af43d5,propose,1186.358,359,True,,classroom-availability
